Rank,Chip Name,NanoReview Score,AnTuTu Score
1,Snapdragon 8 Elite Gen 5,97,3932243
2,A19 Pro,96,2606807
3,Dimensity 9500,96,3508681
4,Exynos 2600,93,3145925
5,Apple A19,91,2239708
6,Dimensity 9500s,90,3041307
7,Snapdragon 8 Elite (Gen 4),90,3099952
8,Dimensity 9400 Plus,89,2874956
9,Dimensity 9400,88,2825187
10,Snapdragon 8 Gen 5,86,3082388
11,Xring O1,86,2998904
12,Apple A18,82,1918031
13,Exynos 2500,82,2420011
14,A18 Pro,82,1808835
15,Dimensity 9300,79,2415558
16,Dimensity 9400e,78,2474831
17,Dimensity 9300 Plus,78,2347116
18,Snapdragon 8 Gen 3,77,2341391
19,A17 Pro,77,1503813
20,Snapdragon 8s Gen 4,75,2301396
21,A16 Bionic,75,1633145
22,Exynos 2400,72,2037320
23,Exynos 2400e,71,1971406
24,Dimensity 8500,70,2153969
25,Dimensity 8450,67,2016572
26,A15 Bionic,66,1413275
27,Dimensity 8400,65,1934134
28,Dimensity 9200 Plus,65,1798756
29,Dimensity 9200,64,1755232
30,Snapdragon 8s Gen 3,63,1795718
31,Snapdragon 8 Gen 2,63,1752044
32,Snapdragon 7 Plus Gen 3,61,1647728
33,A14 Bionic,61,1337390
34,Dimensity 8350,58,1718082
35,Tensor G5,58,1467600
36,Tensor G4,58,1499601
37,Dimensity 9000 Plus,58,1453683
38,Kirin 9030 Pro,57,2101808
39,Dimensity 8300,56,1609292
40,Snapdragon 8 Plus Gen 1,56,1411891
41,Tensor G3,55,1414384
42,Exynos 2200,54,1470636
43,Dimensity 9000,54,1409448
44,A13 Bionic,54,1091336
45,Exynos 1680,53,1390055
46,Snapdragon 8 Gen 1,52,1294632
47,Snapdragon 7 Plus Gen 2,51,1285461
48,Snapdragon 888 Plus,50,1208784
49,Exynos 1580,49,1243000
50,Snapdragon 7 Gen 4,48,1261959
51,Dimensity 8200,48,1206715
52,Tensor G2,48,1158921
53,Kirin 9020,47,1383793
54,Google Tensor,47,1019946
55,Snapdragon 888,47,1118041
56,Kirin 9000,46,1079281
57,Kirin 9010,45,1155792
58,Dimensity 8100,45,1085324
59,Exynos 2100,45,1042710
60,A12 Bionic,45,895627
61,Snapdragon 7s Gen 4,44,986597
62,Dimensity 8000,44,1080933
63,Snapdragon 870,44,1005598
64,Snapdragon 7s Gen 3,43,1038717
65,Snapdragon 7 Gen 3,43,1020938
66,Snapdragon 865 Plus,43,909414
67,Kirin 8020,42,1021894
68,Dimensity 7350,42,1037391
69,Exynos 1480,42,997728
70,Dimensity 8050,42,1028453
71,Dimensity 8020,42,969978
72,Snapdragon 865,42,964589
73,Snapdragon 6 Gen 4,41,963651
74,Dimensity 7200 Ultra,41,960142
75,Dimensity 7200,41,971424
76,Dimensity 1300,41,954090
77,Dimensity 1100,41,972810
78,Dimensity 1200,41,980006
79,Exynos 990,41,901199
80,Dimensity 7400,40,929183
81,Kirin 9000S,40,1062256
82,Snapdragon 6 Gen 3,39,833548
83,Snapdragon 778G Plus,39,800145
84,Dimensity 1000 Plus,39,708890
85,Kirin 990 (5G),39,887876
86,Snapdragon 855 Plus,39,859084
87,Dimensity 7360,38,922560
88,Snapdragon 6s Gen 4,38,831969
89,Dimensity 7300,38,877329
90,Snapdragon 7s Gen 2,38,794701
91,Snapdragon 782G,38,806420
92,Snapdragon 7 Gen 1,38,829085
93,Snapdragon 778G,38,780000
94,Snapdragon 780G,38,782789
95,Snapdragon 860,38,813344
96,Snapdragon 855,38,820253
97,Kirin 8000,37,829838
98,Dimensity 7030,37,737693
99,Dimensity 1080,37,722902
100,Exynos 9825,37,798922
101,A11 Bionic,37,626912
102,Dimensity 7100,36,768176
103,Snapdragon 6 Gen 1,36,733620
104,Dimensity 7050,36,802497
105,Exynos 1380,36,765609
106,Dimensity 920,36,750481
107,Kirin 8000A,35,682743
108,Dimensity 7060,35,679213
109,Dimensity 1050,35,668004
110,Dimensity 930,35,593307
111,Dimensity 900,35,671241
112,Exynos 9820,35,744321
113,Kirin 980,35,739763
114,Snapdragon 4 Gen 4,34,600942
115,Snapdragon 6s Gen 3,34,623235
116,Snapdragon 4 Gen 2,34,572954
117,Snapdragon 750G,34,525163
118,Snapdragon 6s 4G Gen 2,33,690382
119,Unisoc T9100,33,701417
120,Dimensity 7025,33,557820
121,Dimensity 7020,33,639509
122,Unisoc T820,33,757199
123,Snapdragon 695,33,592489
124,Dimensity 820,33,609659
125,Kirin 820,33,602614
126,Unisoc T8300,32,639225
127,Dimensity 6400,32,550018
128,Exynos 1330,32,592392
129,Snapdragon 4 Gen 1,32,521686
130,Exynos 1280,32,605067
131,Snapdragon 765G,32,597153
132,Kirin 810,32,551097
133,Helio G200,31,601391
134,Helio G100,31,570469
135,Snapdragon 4s Gen 2,31,506757
136,Unisoc T760,31,626381
137,Dimensity 6300,31,532738
138,Dimensity 6100 Plus,31,513180
139,Dimensity 6080,31,581315
140,Dimensity 6020,31,527185
141,Helio G99,31,547830
142,Dimensity 810,31,569913
